Magnitude test (f48 vs double)
SSE f48, SSE double
5014920,6987624
4120248,4288688
3635984,3858936
3365608,4879888
3398848,5085792
3512192,5159192
3477336,4335856
3425656,3852040
3480576,3765984
3422016,3794688
3759800,3718344
3830696,3822776
3789264,3962768
3930440,3598328
4011488,3811384
3645344,3800976
3787184,3595416
3705224,3717496
3852016,3748624
4295712,3600048
3866944,3530880
3651712,4241016
3380856,3850696
3513848,3711328
3367320,3691920
3395208,3604880
3580912,3619600
3404112,3701816
3512288,3869928
4011744,3881048
3912400,3585736
3575992,3690400
3442032,3738792
3365616,3657784
3608760,3534608
3439040,3628144
3497656,3571592
3658448,3641384
3565216,3561632
4061224,4031792
4318560,4041760
4018272,3816120
3425760,3804384
3429264,3674096
3422352,3613504
3739816,3610392
3534928,3575688
3489192,3767776
3404640,4488368
3365048,3857432
3452280,3631848
3361736,3525408
3397184,6238832
3570896,4091256
3388904,3855488
3546760,3763448
3384368,4137840
3384048,3816664
3594152,3711640
3959456,4067176
3748096,3630528
3547312,3581200
3671672,3614344
3574312,3597208
3371096,3648072
3356552,3535184
3464920,3746088
3388696,3822296
3405672,3648432
3835752,3632760
3573248,3798144
3517400,3880624
3399920,4284576
4230600,3738128
3456808,4376728
3397912,4114608
3594336,3967336
3714096,4178624
3503768,3702440
3928112,4398512
4186296,4240592
4062200,3780048
3892152,3706976
3558856,3669304
3608568,4245104
4221968,3770992
3454032,3542016
3544512,3445120
3814856,3415920
3463024,3550408
3466128,3516328
3480592,3554112
3561112,3561336
3348872,3469416
3352680,3438808
3501864,3541672
3416136,3504296
3337232,3553608
3442984,3738872
3651608,3598384
