Scale test (f48 vs double)
SSE f48, SSE double
21612984,270507840
20665608,288628800
20723904,224325056
21359864,228285144
21081776,227741544
22504280,233126648
20993584,237835696
20481560,232903648
20632856,235203928
21138248,229177752
21284008,258183584
20665008,233504360
20277664,227700280
19965832,230441960
19899896,242726760
20730192,247285224
21429560,268153944
25662240,344220176
22965912,225712784
21925936,237966600
20439080,227725064
20301224,232333544
21489272,244705352
20351696,236161536
20218192,254854968
20356144,253167672
20335512,225280472
21175776,225353408
20442648,233202992
20622192,226437864
22710840,224538288
22727328,223800072
20533376,255964040
29346720,223481624
20597496,259648032
20653200,231304416
21102776,269063648
20471432,245151896
23638576,238432984
21363576,259869464
19944616,250043024
19925760,310222656
19984248,291574360
20303792,221814048
20060336,222443632
19978312,225164072
19916712,166974029
20008672,112811484
20064992,111640800
20033904,108054036
19908928,104232084
19914240,105244794
19924984,112973991
19953784,107551098
20122976,152368109
19920648,233199416
19954976,230754088
20136400,229819200
20108208,262179032
20055992,246523744
20383752,233589480
21422736,226139224
22809824,225502456
21550760,223828672
20855480,224061512
21157672,226614096
21967072,204345642
22744024,193274976
20216368,193862160
20033352,204619314
22091024,197387172
22232792,195706020
20143880,203787585
20078536,207802759
20030880,210482435
20788944,207813436
19994392,217123083
20168128,219423153
22277800,105994092
20688240,104913201
21327912,111071994
22014944,109476486
20276992,109650258
20101096,181989771
20330752,251524880
20100104,255720304
21754152,231953184
20016880,230074000
20839264,235077240
25105112,225557112
26692560,234353912
20598728,223936816
20922064,223008664
20201584,231769000
20261848,249974920
19940344,240570320
19933720,228064328
20182824,157736072
20153504,118873698
20013088,248266376
