Dot product,,Magnitude
Double,F48,Double,F48
1223650,6297610,470841,2438946
1019620,6262410,470611,1643225
873922,4850650,470573,5660480
797938,4942775,470573,1557187
734100,4693470,470573,1537912
679735,4719196,470573,1501333
655565,5141448,470573,1494175
611768,4727236,470573,1508047
573530,4562472,470596,1499204
556216,5156751,470573,1515721
524388,4733900,470570,1574366
509810,4843738,470573,1503180
496026,4577622,470620,1509245
482982,4983967,470573,1533682
470674,4704721,470573,1509935
470659,5247554,470573,1517800
470618,5277756,470599,1502269
470582,5137175,470570,1684325
471270,4894573,470573,1498310
470585,4896053,470596,1520287
470582,5295273,470573,1497196
470582,5040366,610159,1504884
470582,5047635,470573,1514976
470582,4804127,470596,1501104
470608,4823882,717146,1565977
470608,6032320,470573,1503308
470585,5140952,470620,1505581
470585,5057170,470573,1505694
470605,6063561,470570,1509319
470585,4969178,470573,1503368
470659,5131867,470573,1493633
470582,4587752,561370,1508986
470608,5161136,470606,1501065
470585,4679426,470570,1523977
470582,4558168,470573,1508405
470588,4553104,470593,1494050
470582,4552079,470573,1501932
470582,4589865,470573,1541171
470585,4488171,470573,1541528
470608,4544156,470573,1500919
470659,5128915,470573,1483836
470582,4963158,470808,1528386
470585,4595026,470593,1509969
470585,4622508,470596,1496612
470585,4505739,470570,1520722
470582,4838239,557930,1507538
470605,4554423,470573,1508929
470585,4503228,470570,1484480
470659,4603406,470570,1494074
470608,4583871,470576,1503273
470641,4654085,470570,1517424
470582,9437764,470593,1929948
471514,4744540,470570,1516995
470582,4876340,470593,1493934
470608,4793383,470573,1525416
470647,4597505,470573,1499555
470582,4623158,470573,1496737
470585,4603563,470573,1494077
470605,5147449,670677,1570851
470618,4763783,470596,1505986
470618,4640583,470593,1495105
470585,4613813,470570,1546518
470582,4517398,470573,1495358
470582,4630798,470573,1493297
470608,4649397,470573,1552659
470585,4697935,470573,1536163
470582,4588006,470570,1514121
470642,4641903,470573,1510305
478880,4653946,470570,1497267
470605,4665768,470570,1501429
470582,4666861,470573,1501470
482503,4594934,470570,1554879
470585,4667287,470576,1490604
470582,4588482,470570,1508598
470582,4725227,470573,1526205
470644,4578563,470596,1580821
470608,4466458,470573,1500353
470585,4786889,470573,1829031
470582,4434607,470573,1587516
471529,4583263,470596,1505057
470582,4695808,470573,1605979
470585,4926067,470573,1535425
470582,4563794,470573,1498822
470582,4913747,470573,1496755
470624,4677850,470596,1521097
470585,4535095,470573,1521273
470662,4663790,470573,1492487
470585,4587669,470808,1498587
470611,4681958,470596,1499683
470608,4340828,470573,1503270
470608,4931983,470573,1499581
470585,5097588,476697,1505083
470585,4948776,470573,1489090
470677,4596498,470573,1511756
470624,4861819,470573,1501905
470820,4989082,470573,1518371
470582,4926889,470573,1492504
470605,4688707,470573,1510430
470585,4516349,470573,1490315
470585,4981325,470573,1492018
