Absolute Maximum,,Absolute Minimum
Double,F48,Double,F48
470790,2873059,470704,2866762
470591,1593480,470614,1573856
470588,3121776,470570,3058776
470617,1581583,470588,1556767
470608,1495451,470570,1515875
470594,1513364,470573,1477947
470847,1475186,470570,1477530
470597,1484027,470611,1470697
470620,1466706,470570,1472770
470588,1482165,470573,1470935
470591,1472699,470573,1470721
470585,1526050,470573,1502409
470597,1497026,470814,1502453
470588,1493326,470596,1494727
470594,1483738,470573,1498438
470588,1466798,471061,1462279
470617,1472607,470573,1478201
470588,1465907,470573,1470367
472548,1469667,470570,1479001
470808,1479401,470570,1474998
470611,1479681,470593,1464180
470597,1467051,470573,1467019
470611,1718661,470573,1472416
470617,1532964,470573,1467140
470585,1719259,512731,1491834
470811,1522274,470573,1500243
471356,1508295,470573,1479672
470611,1511979,470573,1473101
470611,1483669,470573,1474992
470588,1501292,470588,1479729
470617,1481096,470570,1464826
470585,1507010,470570,1479502
470588,1516385,471079,1489699
470588,1475832,470573,1470926
470611,1523248,470573,1526373
470608,1484867,470573,1476392
470617,1492811,470596,1477408
471600,1633684,476235,1463497
470611,1527814,470573,1481197
470594,1515583,470573,1472413
470611,1489049,470614,1488194
470608,1533819,470573,1468207
470588,1509430,470596,1472424
470585,1497738,470570,1483375
476042,1535717,470573,1476598
470585,1498628,470573,1494095
470591,1509290,470599,1476470
470611,1472526,470573,1473727
470585,1498515,470596,1467772
470611,1618218,470593,1478206
470585,1601811,470579,1466765
470611,1527117,470570,1837134
470585,1467084,470573,1485528
470611,1487321,470596,1469839
470585,1606911,470596,1492758
470608,1474474,470596,1474399
470585,1470241,470596,1472910
470585,1472088,470570,4792945
470620,1514395,470596,1540572
471568,1478999,470593,1468710
470620,1475663,470573,1477828
470611,1494786,470811,1553285
470617,1492031,470573,1475049
470611,1472207,476235,1470062
470585,1475010,470596,1506963
470591,1486874,470573,1477694
470588,1472940,470573,1473011
470611,1468877,470573,1474939
470585,1472907,470573,1472228
470588,1467191,470573,1478030
470588,1474173,470591,1473908
470611,1472165,470588,1480003
470588,1467146,470570,1463414
470585,1471602,470573,2074949
470585,1478245,470573,1503746
470608,1482633,470596,2012852
470585,1471653,476030,1587764
470588,1504649,470573,1509471
470588,1474117,470573,1519093
470585,1472550,470573,1473861
470588,1483118,470573,1529128
470591,1481495,470573,1643594
470588,1471418,470573,1481736
470611,1465759,470573,1517245
470585,1510737,470596,1570928
470611,1490675,470596,1517740
470585,1477080,478001,1659372
470611,1470542,470570,1521407
470611,1470834,470573,1509676
470588,1475314,470573,1492650
470608,1482391,470570,1513254
470585,1468332,470593,1479809
470585,1465821,470611,1515083
470620,1474930,470573,1516069
470608,1529235,470602,1474825
470591,1492475,470573,1544251
470611,1543628,470588,1474161
470585,1715316,470573,1513031
470588,1544626,470573,1508711
472571,1483729,471020,1475966
