Absolute Maximum(size:4096),,Absolute Minimum
Double,F48,Double,F48
2164,8876,2192,8868
2100,8440,2100,8460
2112,8432,2116,8440
2112,8460,2112,8436
2112,8432,2112,8440
2112,8436,2112,8440
2108,8432,2108,8436
2104,8436,2112,8440
2108,8432,2116,8436
2108,8432,2112,8436
2108,8432,2112,8436
2108,8436,2116,8440
2108,8436,2108,8440
2108,8432,2108,8440
2108,8436,2108,8436
2108,8436,2112,8436
2108,8436,2108,8436
2108,8436,2112,8436
2112,8456,2108,8468
2108,8436,2112,8456
2116,8436,2112,8436
2108,8436,2112,8436
2108,8436,2112,8432
2112,8436,2112,8440
2108,8436,2112,8436
