Matrix-vector Multiplication,,,,,,
Double,,,F48,,,
non-SSE,SSE-v1,SSE-v2,non-SSE,SSE-v1,SSE-v2,SSE-loop un-rolled
10349256,11671036,2662764,12946248,2626017,1257849,2210628
8062600,5336214,3569071,10556831,2038680,1189783,2093736
7092540,3824184,6210698,10485941,2667482,2280180,2280291
6297753,2965056,3164033,10530344,2652807,1182893,915826
5714485,3357896,3072607,10525813,1904283,922028,1168744
5444386,2990644,2586247,10546012,2111662,959596,982237
4962768,2840548,2832474,10462233,1945875,1020999,900001
4886520,2891531,2862761,10507361,1856877,1018431,953462
4675105,2821882,2654328,10487701,1965833,888327,905100
4837710,2899558,2695595,10505085,1999185,1129213,1367094
