Matrix-vector Multiplication double,,,,Matrix-vector Multiplication f48,
non-SSE, SSE-v1, SSE-v2,,non-SSE,f48-double (non-sse)
22394910,4662517,6082217,,20246323,-2148587
39986399,27409661,9208745,,24388055,-15598344
7726939,25366229,4845648,,10778925,3051986
7223973,4009307,3003883,,11304337,4080364
22337977,20300569,4741987,,10929770,-11408207
3930214,3837313,4057784,,10929910,6999696
20198773,10175711,4813979,,11304535,-8894238
3506960,3992076,4289257,,10754898,7247938
6819966,9706455,14885963,,10628663,3808697
3697865,13967662,3688950,,10915422,7217557
4390211,3927962,3375976,,10747550,6357339
13079080,7382075,18215796,,10875275,-2203805
3362733,3668775,2999569,,11115222,7752489
7125453,8452747,13948438,,11799176,4673723
4422210,3808305,3914643,,10845162,6422952
8094159,8989319,4490649,,10851612,2757453
18192099,4323166,4461210,,10940630,-7251469
13120527,3338671,4079043,,10795650,-2324877
3755109,5188296,4334388,,10875066,7119957
3505874,2732007,3640548,,11024107,7518233
20615543,3626280,16360244,,11264525,-9351018
3844376,9232390,2683997,,11188276,7343900
12683351,2875394,17508501,,11214310,-1469041
4258628,5636013,26036232,,10773780,6515152
7147988,3933541,3288845,,11001192,3853204
4186145,3755128,2557168,,10841239,6655094
4603161,4156662,7753517,,11060620,6457459
8324793,5075428,3176240,,11634858,3310065
4351394,4479196,3196412,,11994914,7643520
4015650,3839396,3593228,,10951611,6935961
4257945,8132543,4557307,,11042819,6784874
4216806,2979898,3856921,,10793264,6576458
5367293,4649011,3292869,,10723008,5355715
4345353,3116813,3911268,,10764970,6419617
9625673,2924529,2620177,,11281397,1655724
4399442,2275694,3415553,,10872195,6472753
4650642,3330141,3982785,,10986679,6336037
4701206,2911019,3450316,,10917879,6216673
4667530,3943362,16606174,,10731373,6063843
5514145,3665270,2858008,,10910530,5396385
3969289,11973229,13452846,,11297658,7328369
18454782,8511547,3818964,,10744768,-7710014
3298892,3929320,3892849,,10765041,7466149
4089117,2328268,17085717,,11137188,7048071
16610217,4165644,3321535,,10732615,-5877602
37077338,3920557,11683871,,10751296,-26326042
3679666,17072400,4262898,,11213408,7533742
6167698,4648184,6049948,,10844094,4676396
4970694,6842234,8900134,,10791188,5820494
3971422,4525780,3125649,,11079499,7108077
4863705,2952395,4081901,,11182560,6318855
4255342,3211389,3424262,,10993357,6738015
18186993,3331368,15768490,,10705654,-7481339
3891753,3102719,3730163,,11087973,7196220
17657991,4269787,5648461,,10873325,-6784666
3577557,2830978,5291637,,11463805,7886248
3625338,20753821,6014541,,10961660,7336322
20036479,2996468,4884594,,11123155,-8913324
4207176,4901757,3922439,,11336072,7128896
16721626,3017504,2836215,,10694096,-6027530
3508898,2787500,3471209,,10916318,7407420
8630860,2422596,4220247,,10754332,2123472
4423692,3412837,4532083,,10929076,6505384
4575165,4344728,3202896,,12056728,7481563
12545716,7034063,16014066,,21805648,9259932
4372370,3079510,4483445,,18120575,13748205
5795427,7142450,6581950,,10839367,5043940
5051258,4539596,3954903,,11000012,5948754
5550940,3806296,4419386,,11066648,5515708
4307646,2477571,3833575,,10892658,6585012
15535441,2386565,12650054,,10940754,-4594687
4726808,3591021,3684186,,10938295,6211487
9039460,2626296,12254304,,10793519,1754059
4197894,19228557,2884399,,11316243,7118349
3673646,2386717,2596124,,10913460,7239814
4559326,5625264,8328392,,10806083,6246757
3798584,4405345,4067182,,11249623,7451039
4107840,3120728,8898876,,10991770,6883930
3582382,8851132,4673358,,10657914,7075532
12469700,3859773,3654545,,11177695,-1292005
9363908,3944470,4338375,,10752317,1388409
5208016,5830550,3331093,,11004297,5796281
8030047,4154181,5249365,,11232372,3202325
4461767,4820668,14103713,,11017061,6555294
6350510,5300662,4313426,,10914490,4563980
10577889,3531014,3393868,,11308400,730511
12947614,2443441,3756247,,11094645,-1852969
12374525,5631983,4466286,,33294303,20919778
10367116,3029073,3347010,,10964796,597680
11647565,3271812,16214331,,10769923,-877642
25201068,3776587,2935010,,11052190,-14148878
13295705,4208843,3097336,,11034093,-2261612
11607254,4731671,16733419,,10980537,-626717
25326566,3331509,3506237,,10858894,-14467672
18083468,3671211,10444319,,10902106,-7181362
21579456,20867040,4108788,,10724498,-10854958
9949351,2695188,7572387,,10581930,632579
12343606,12418391,4511228,,10808649,-1534957
13068300,4470539,3949892,,10909980,-2158320
14395250,21985074,4525710,,10998795,-3396455
