Magnitude test (f48 vs double)
SSE f48, SSE double
4026442,2754744
2117187,1819071
2093182,1536699
1873667,1557262
2354255,1622058
1964486,2106415
1845036,1827993
2074621,1607399
1779230,2285613
2073549,1726919
1699957,1521660
1995140,1652980
1769284,1901818
1830564,1786212
2222170,1522384
1703377,1647604
1809399,1505852
1678907,1547718
1784067,1502155
1638134,1504202
5591635,1671734
1890611,1507323
2118283,1529637
5507830,1500148
21602795,1816210
23181237,1507404
3164490,4463132
2410732,2013807
2194771,4908105
1828689,16131048
1953852,21290345
1765856,9304451
2006685,1785693
1849846,1547902
1716313,1521451
1760831,1542740
1696216,1510880
1964626,1567571
1674487,1509843
1838576,1761809
1656352,1511836
1822541,1554905
1922986,1509358
1881214,1506242
1665797,1707330
1736739,1507010
1645933,1717285
1888785,1515187
1639844,1670188
1860639,1506790
1635495,1642215
2141768,1503124
1751450,1646799
3614685,1506877
9341675,1506215
2067531,1558423
1761718,1759659
2155758,7369424
2318913,2136123
1782813,2330956
1945675,1555254
1746852,1707008
2031207,1551435
1735902,1723495
1892467,1554637
1731529,1667811
2060538,1535570
1711822,1694968
2027596,1549001
2200174,1751680
1840384,1552886
1944699,1543765
1721926,1659956
1930326,1539080
1697199,1860531
2133233,1544272
1707368,1599071
1799387,1543539
1687453,4044984
1948479,2050750
1618325,4571616
1925980,16737593
1832820,25083104
1682318,9749788
1859331,1921122
1674441,1584922
1808785,1875369
1679842,1560157
1917651,1661231
1664647,1749618
1835310,3154278
1661472,8104471
1965740,1624608
1660388,1591112
1911587,1516566
2079545,1511533
1856394,1684576
1677170,1541182
1857455,1596709
1661478,1530516
