Scale test (f48 vs double)
SSE f48, SSE double
94457772,44781849
41956485,36908570
38450327,34123314
59504248,16417564
32617893,7614130
24084979,3068375
11899879,2806288
11673701,2975525
13669741,3032982
12175503,2880104
31375296,2912497
62406733,2958118
79076131,2819002
59141023,5560007
26567298,5179498
29414846,4322518
25670310,6766477
29178560,16897580
50504469,10653079
27398692,3356872
26928127,2931622
39524814,2823711
35743556,2997502
31687144,2967454
19630275,2959327
25774889,3215222
18274491,2877066
20579959,2956490
45405236,3095413
23392441,2807980
15089073,2827910
31269946,2915762
54564461,3010402
46264132,3019388
26102171,2953476
24501998,2799687
23693142,3110970
55517071,3037057
29276503,2948602
34241304,2939415
39279488,3042780
18369244,4788877
26498411,5832142
26148792,3656187
16720994,14574329
16679801,20867376
11765538,3988582
29507926,3493910
30128969,3777967
34092732,3528980
17357717,3287233
53346051,3383402
23349329,3191765
35360832,3448023
25348162,9375077
39574004,18812326
50003839,3627563
38551764,3393391
41526288,3627365
59769213,3411342
32715705,3560620
44641985,6006542
38102025,5347741
53277303,3587821
24947471,3312983
36634293,3230773
128186406,3330866
44781241,3464609
57092792,3199892
36294539,2928068
64285814,3097384
30832473,3203140
60526746,3243122
52788751,4203226
64213775,5899468
60997445,4127677
54924025,5660732
38534138,11808072
38898738,15803179
235330455,3657459
40819818,3393700
268351404,3268163
73940940,3159858
37398553,3224202
20178385,3130938
11519100,3065445
13147202,2992698
11308505,3082882
25714481,3196405
35638749,3624827
15192473,2963561
40611613,3058810
13681702,3044563
40456795,3074765
68052048,3063511
11772358,3269579
12416018,2839530
21088520,3136536
230253811,3134162
14284879,3022299
