Magnitude test (f48 vs double)
SSE f48, SSE double
3639907,6264465
3147585,3305903
3055080,3408270
3076808,3280343
3031478,3209722
3032768,3281580
3050415,3233040
3031770,3263843
3056258,3209782
3035302,3207660
3031545,3230063
3062077,3209513
3030967,3232980
3077565,3406838
3051165,3416640
3031050,3436935
3052777,3208553
3061687,3248655
3034657,3210015
3366173,3209423
3032280,3230130
3074445,3237308
3032610,3247710
3031485,3209933
3086145,3684315
3030667,3209243
3057555,3208410
3231367,3244778
3030908,3210330
3065917,3322860
3032242,3229313
3031087,3243698
3076050,3271193
3032415,3209115
3049470,3259020
3040380,3211440
3034477,3209543
3065273,3246892
3031035,3208013
3051645,3230175
3031778,3211207
3032243,3208665
3116498,3288570
3082155,3208770
3031718,3233235
3055710,3208688
3041918,3243525
3049717,3208860
3037073,3369285
3068242,3233685
3051525,3209048
3031890,3245430
3056910,3208650
3108855,3233340
3055080,3233640
3060900,3210885
3030667,3247583
3031245,3209070
3051923,3208988
3032700,3654518
3096443,3209190
3031973,3241050
3031628,3209895
3070988,3208875
3063045,3227842
3031688,3207075
3055545,3282173
3032940,3206992
3049905,3231495
3060300,3209130
3030652,3207930
3066382,3458115
3034560,3208387
3075127,3228758
3032483,3207375
3071580,3208050
3054113,3232358
3058237,3209482
3031792,3227145
3053580,3477158
3052942,3207983
3051503,3259313
3971273,3253118
3067980,3257625
3032092,3210210
3050925,3208440
3049425,3229703
3030353,3209550
3058545,3226522
3049373,3241958
3037515,3207075
3048525,3226028
3030150,3233303
3035827,3273713
3063585,3245273
3059033,3230213
3031357,3209978
3057270,3208185
3031305,3227010
3052665,3208912
