Scale test (f48 vs double)
SSE f48, SSE double
2411693,388982130
1782072,387281355
1772526,369747540
1775148,181714836
1785273,181768662
1778475,181836951
1772625,181918365
1773726,325673944
1775526,386629748
1782552,386318333
1760256,263313165
1765281,181691292
1766421,182267217
1772127,292035166
1775052,387723517
1772616,386366723
1782447,386209935
1776324,218375312
1780533,181975101
1779375,181766823
1770066,181771461
1780509,181655550
1770540,188386296
1792212,203169627
1764900,182298453
1767885,181787601
1791948,181775268
1780218,182691237
1776171,181801224
1779975,181770420
1772625,181732944
1775835,181797012
1777449,181678335
1782501,182662011
1764741,181797177
1770891,181869903
1798998,181782270
1769193,181722894
1775586,182690952
1768359,181680444
1770312,189936771
1789194,182141622
1768380,181906542
1768044,183172581
1778772,314446668
1783155,386463503
1768743,376053473
1775340,181685886
1777461,181764141
1762809,181749354
1791279,182188200
1762851,181774959
1768701,182701473
1773468,181744191
1786383,190814844
1779444,183132162
1791858,181767564
1772133,213922731
1775091,387239205
1779522,386677980
1768143,363101592
1779525,344928936
1778421,352347862
1784766,401836440
1763532,387219990
1775706,393645128
1770369,389509328
1782150,386414415
1787910,255677048
1775397,181999089
1789860,182131122
1770876,182057523
1790733,182063259
1768704,182730633
1783194,211344786
1773690,391858050
1783284,312592469
1771227,337025040
1763274,390719115
1758744,352002723
1776420,181849557
1784442,181966170
1771308,181971435
1769586,181676736
1778157,181683423
1789011,182793777
1767255,181834113
1774746,181873707
1770213,181797522
1777113,182116215
1775889,182805942
1769754,181846593
1768020,181900962
1872156,181982565
1788096,181878366
1760130,181754907
1778100,182812434
1774416,181775796
1771920,181919652
1780371,181918083
